GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Youngest leaf spotted
EMB 402,515,114,,330.5,5.1,6,84.5,7.4
EMB 403,487.5,103.5,,206.5,4.7,6.5,84,6.6
FHIA-23,808,91,,294,12.2,7.5,10,5.1
Yangambi Km 5,440.5,123,,279,10,8,125,6.6
Pisang Ceylan,608,101.5,,307,8.4,10,,6.4
Saba,776,58.5,,350,6,8,123,6.5
SH-3436-9,669.5,108,,225.5,8.8,8,1.1,4.7
Agbagba (control),793,60,,321,5.8,7,24,5.5
Valery (control),576.5,90.5,,218.5,,5.5,44.5,6.1
