Name,Status,BLSD,Genome,Subgroup_Type,Breeding_program,year
Agbagba,Landrace,S,AAB,Plantain,NA,
BITA-2,Hybrid,PR,ABBB,Plantain,IITA,1996
BITA-3,Hybrid,PR,AAAB,Plantain,IITA,1996
Burro Cemsa,Landrace,R,ABB,Bluggoe,NA,
Cachaco,Landrace,S,ABB,Bluggoe,NA,
Calcutta 4,Wild,R,AA,M. acuminata subsp. burmannicoides,NA,1948
CRBP-39,Hybrid,R,AAAB,Plantain,CARBAP,1998
EMB 403,Hybrid,R,AAAB,,EMBRAPA,1998
FHIA-01,Hybrid,R,AAAB,Pome,FHIA,1988
FHIA-02,Hybrid,R,AAAA,,FHIA,1988
FHIA-03,Hybrid,R,AABB,,FHIA,1987
FHIA-17,Hybrid,R,AAAA,,FHIA,1989
FHIA-18,Hybrid,R,AAAB,Pome,FHIA,1989
FHIA-20,Hybrid,,,,FHIA,1989
FHIA-21,Hybrid,R,AAAB,Plantain,FHIA,1987
FHIA-23,Hybrid,R,AAAA,Highgate,FHIA,1990
FHIA-25,Hybrid,R,AAB,,FHIA,1997
French Sombre,Landrace,U,ABB,Plantain,NA,
Grande Naine,Landrace,S,AAA,Cavendish,NA,1882
Gros Michel,Landrace,S,AAA,Gros Michel,NA,1870
Kisansa,Landrace,S,AAA,EAHB,NA,
Lakatan,Landrace,U,AA,,NA,
Mbwazirume,Landrace,S,AAA,EAHB,NA,
Nakitembe,Landrace,S,AAA,EAHB,NA,
NARITA 10,Hybrid,S,AAA,EAHB,NARO-IITA,2010
NARITA 11,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 12,Hybrid,S,AAA, EAHB,NARO-IITA,2010
NARITA 13,Hybrid,S,AAA,EAHB,NARO-IITA,2010
NARITA 14,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 15,Hybrid,S,AAA,EAHB,NARO-IITA,2010
NARITA 16,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 18,Hybrid,S,AAA,EAHB,NARO-IITA,2010
NARITA 19,Hybrid,S,AAA,EAHB,NARO-IITA,2010
NARITA 2,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 20,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 21,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 22,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 23,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 24,Hybrid,S,AAA,EAHB,NARO-IITA,2010
NARITA 25,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 26,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 27,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 4,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 6,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 7,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 8,Hybrid,R,AAA,EAHB,NARO-IITA,2010
NARITA 9,Hybrid,R,AAA,EAHB,NARO-IITA,2010
Ndizi Uganda,Landrace,S,AAA,EAHB,NA,
Niyarma Yik,Landrace,S,AA,,NA,
PA 03-22,Hybrid,S,AAAB,Pome,EMBRAPA,1995
Pisang Berlin,Landrace,S,AA,Inarnibal,NA,
Pisang Ceylan,Landrace,R,AAB,Mysore,NA,
Pisang Jari Buaya,Landrace,S,AA,Pisang Jari Buaya,NA,
PITA-16,Hybrid,S,AAB,Plantain,IITA,1995
PV 03-44,Hybrid,R,AAAB,Pome,EMBRAPA,1995
Rose,Landrace,PR,AA,M. acuminata subsp. malaccensis,NA,
Saba,Landrace,S,ABB,Monthan,NA,
SH-3436-9,Somaclonal variant,S,AAAA,Highgate,INIVIT,1987
SH-3640,Hybrid,S,AAAB,,FHIA,1987
Valery,Landrace,S,AAA,Cavendish,NA,
Williams,Landrace,S,AAA,Cavendish,NA,1910
Yangambi Km5,Landrace,R,AAA,Ibota Bota,NA,
