"id","lat","lon","pdate","end_date","id_2"
"imtp_1566_c1",15.4166667,-87.9333333,1990-01-01,1990-11-20,""
"imtp_1683",3.8166667,-76.5166667,1991-10-10,1992-10-11,""
"imtp_1924",4.5833333,9.65,1991-07-04,1992-03-19,""
"imtp_2935",4.5833333,9.65,1995-10-19,1996-04-25,""
"imtp_2937_c1",10.2666667,-83.45,1996-02-12,1996-10-24,""
"imtp_2938",15.4166667,-87.9333333,1996-07-12,1997-05-29,""
"imtp_2939_c1",9.2666667,7.3333333,1995-08-08,1996-09-24,""
"imtp_2940_mono_c1",4.7666667,7.1666667,1995-06-20,1996-07-07,""
"imtp_2941_c1",7.4333333,3.9,1995-08-14,1996-09-17,""
"imtp_2942",7.0833333,125.6,1996-06-20,1997-05-02,""
"imtp_2957",-21.1666667,-175.166667,1996-01-09,1996-11-13,""
"imtp_16166_mother_A",24.13333333,89.03333333,2002-04-07,2003-02-07,""
"imtp_16167_mother_A",4.583333333,9.65,1999-11-17,2000-07-14,""
"imtp_16170_mother_A",7.531833333,125.8350667,2002-08-13,2003-09-08,""
"imtp_16176_mother_A",15.4166667,-87.9333333,2002-02-01,2002-11-08,""
"imtp_16177_mother_A",11.3560417,-85.7994444,2002-06-29,2003-06-17,""
"imtp_16178_mother_A",7.01415,125.1538278,2002-01-04,2002-09-17,""
"imtp_16181_mother",21.3,105.9833333,2002-08-17,2003-09-18,""
"3191",-1.1,-79.4833333,2003-11-01,2004-07-31,""
"3193",-0.2333333,-79.3166667,2003-02-01,2004-05-31,""
"3194",-3.074353,-79.769084,2003-02-01,2004-05-31,""
"mgis_20_c1",18.4717722,-67.0511806,2014-08-01,2015-08-05,""
"mgis_6_c1",18.4717722,-67.0511806,2008-02-20,2009-02-01,""
"Ka_fp_1",0.41666667,32.6,2016-05-04,2017-09-11,""
"Mb_fp_1",-0.933333,30.61666667,2016-05-15,2017-12-13,""
"Mt_fp_1",-8.5,33,2016-04-09,2018-01-24,""
"Ma_fp_1",-1.333333,31.5,2016-04-07,2018-02-24,""
"Ta_fp_1",-3.24372,37.24647,2016-04-14,2017-12-04,""
