country,location_name,Longitude,Latitude,temp,prec,rhum
Honduras,La Lima,-87.9333333,15.4166667,24.4235232,166.413784,86.89262247
Colombia,Zabaletas,-76.5166667,3.8166667,19.40338923,407.4478149,88.98650789
Cameroon,Njombe,9.65,4.5833333,25.82647349,217.3185349,87.46105878
Costa Rica,La Rita,-83.45,10.2666667,25.00921021,275.9861946,85.91220649
Nigeria,Abuja,7.3333333,9.2666667,26.45339991,134.0794563,64.03680023
Nigeria,Onne,7.1666667,4.7666667,26.19524091,251.584053,87.43193165
Nigeria,Ibadan,3.9,7.4333333,26.08860995,119.7242737,80.78898668
Philippines,Davao,125.6,7.0833333,26.6459226,147.4785805,80.27067359
Tonga,Vaini,-175.166667,-21.1666667,24.14114978,142.2572136,76.80489715
Bangladesh,Ishurdi,89.03333333,24.13333333,25.5655145,146.3770866,77.04072746
Nicaragua,Rivas,-85.7994444,11.3560417,26.3503891,122.6520538,80.97061523
Philippines,Kidapawan,125.1538278,7.01415,25.26915957,239.5009995,83.59858751
Vietnam,Ha Tay,105.9833333,21.3,24.2012071,157.3967934,78.95399332
Ecuador,Pichilingue,-79.4833333,-1.1,23.83956935,508.6565018,90.26898559
Ecuador,El Carmen,-79.3166667,-0.2333333,23.32460747,232.4414253,87.61287737
Ecuador,Pagua,-79.769084,-3.074353,22.04078064,548.4628677,89.2712458
Puerto Rico,Isabela,-67.0511806,18.4717722,25.74994367,93.82724762,80.91666524
Uganda,Kawanda,32.6,0.41666667,21.08162905,150.4468918,86.98929644
Uganda,Mbarara,30.61666667,-0.933333,20.90588468,70.96290588,72.74485445
Tanzania,Mitalula,33,-8.5,24.56822802,51.18370056,55.58991925
Tanzania,Maruku,31.5,-1.333333,20.93350881,91.26186371,82.07132959
Tanzania,TaCRI,37.24647,-3.24372,17.41144651,200.5314827,79.42335558
