"items","estimate","SE","Z_value","p_value","quasiSE","quasiVar","reliability","rel_se"
"NARITA 8",1.49626176663071,0.809537271680195,1.84829262218554,0.0645600224625751,0.415016475072032,0.172238674581215,0.817016269915298,0.070286699056875
"FHIA-01",1.19341436554249,0.799919615686038,1.49191786542074,0.135720678561575,0.511478961734771,0.261610728297279,0.76735116454773,0.103180642046648
"NARITA 2",0.955659755527375,0.850929712130206,1.12307719651132,0.261404709976597,0.489413531097416,0.239525604421241,0.722251974891262,0.107757070774903
"EMB 403",0.313741320163393,1.14044201460703,0.275105017304629,0.783235557005415,0.959216243654762,0.920095802091151,0.577798211267523,0.233788235026712
"NARITA 14",0.309467120742437,0.784883642622301,0.394284074654053,0.693371319563368,0.364687533452496,0.132996997055666,0.576755186023755,0.0905567822857929
"NARITA 23",0.201250751896684,0.786166553767309,0.255989969214908,0.797958582727926,0.364256961635696,0.132683134100069,0.550143559799882,0.090805117145359
"Calcutta 4",0,0,NA,NA,0.657112860185485,0.431797311021149,0.5,0.158611534643709
"FHIA-25",-0.14768659918062,0.738028542602449,-0.200109603701566,0.841394862608015,0.376694889896277,0.141899040073969,0.463145313348609,0.0913170462627828
"NARITA 9",-0.215506546178676,0.865270162088489,-0.249062727019861,0.803312260611077,0.514498710106501,0.264708922701253,0.44633091594445,0.121137341981305
"Pisang Ceylan",-0.225281771857198,0.679070495450251,-0.331750198788753,0.74007789204869,0.222000932176216,0.0492844138871091,0.443916551664344,0.0539095302585103
